Game Name;Release Name;Package Name;Version Code;Last Updated;Size (MB)
Cover Drive Cricket ;Cover Drive Cricket v293+1.1.13 -VRP;io.mphillips.CoverDriveCricket21;293;2021-08-29 11:17 UTC;153
Puzzling Places ;Puzzling Places v85+1.52 -QU;com.RealitiesIO.puzzlingPlaces;85;2022-03-11 15:55 UTC;10273
AGAINST VR ;AGAINST VR v1+0.9.5 -FFA;com.JoyWay.AGAINST_M;1;2022-04-07 02:03 UTC;835
First Person Tennis ;First Person Tennis v49+4.0 -FFA;com.mikorigames.firstpersontennis;49;2022-11-10 20:31 UTC;648
FREEDIVER - Triton Down ;FREEDIVER - Triton Down v20+1.0 -QU (b);com.Archiact.Freediver;20;2021-06-05 07:52 UTC;812
Little Witch Academia VR Broom Racing ;Little Witch Academia VR Broom Racing v827+1.3.0 -FFA;com.UNIVRS.LWAVR;827;2021-10-25 01:26 UTC;1874
ALTDEUS ;ALTDEUS v538+1.1.538 -FFA;com.MyDearest.Altdeus;538;2022-02-25 13:42 UTC;1948
Warplanes Battles over Pacific ;Warplanes Battles over Pacific v1120+1.1.2 -FFA;com.HomeNetGames.WW2VR;1120;2022-09-08 21:48 UTC;369
PowerBeatsVR ;PowerBeatsVR v124+3.4.0 R4633 -FFA;com.FiveMindCreationsUGhaftungsbeschrnkt.PowerBeatsVR;124;2022-07-17 06:42 UTC;889
Jetbounce ;Jetbounce v39+1.1.9 -FFA;com.kastelsoft.jetbounce;39;2022-05-27 22:26 UTC;486
Kizuna AI - Touch the Beat - ;Kizuna AI - Touch the Beat - v70+1.7 -FFA;com.activ8.kizunaaivr;70;2022-11-26 10:28 UTC;2737
Revria ;Revria v8+0.0.40 -FFA;com.BrantiskyInteractive.Revria;8;2022-09-11 11:41 UTC;546
Sairento VR - Untethered ;Sairento VR - Untethered v223+1.9.5 -VRP;com.mixedrealms.sairentovruntethered;223;2021-08-21 22:40 UTC;1869
Five Nights at Freddys - Help Wanted ;Five Nights at Freddys - Help Wanted v219+1.0.6 -QU;com.SteelWoolGames.fnafhw;219;2021-06-05 08:00 UTC;1744
Guitar King VR VR VRmoo.cn ;Guitar King VR VR VRmoo.cn v2+1.1 -FFA;com.nolo.GuitarKingVR;2;2022-10-09 18:52 UTC;283
AVICII Invector ;AVICII Invector v58+1 -FFA;com.hellothere.invectorvr;58;2022-02-17 21:45 UTC;1839
NES Space ;NES Space v5+1.0.4 -VRP;com.Chesstar.NesVR.QuestItch;5;2021-09-09 21:47 UTC;227
Puzzling Paths ;Puzzling Paths v17+1.0 -VRP;com.WeirdEyeStudios.PuzzlingPaths;17;2021-09-07 01:53 UTC;184
Synth Riders ;Synth Riders v450+2.3.21.a.1 -FFA;com.kluge.SynthRiders;450;2022-11-19 11:32 UTC;1561
Paper Birds - Part I & II ;Paper Birds - Part I & II v72+1 -VRP;com.ThreeDAR.PaperBirdsQuest;72;2021-09-26 22:19 UTC;6624
Red Matter 2 ;Red Matter 2 v55+1.0.009 -FFA;com.VerticalRobot.RedMatter2;55;2022-10-29 18:34 UTC;5344
The Brookhaven Experiment ;The Brookhaven Experiment v109+1.0259 -unknown;com.Phosphor.Brookhaven;109;2021-06-05 11:32 UTC;262
Sail ;Sail v85+1.0.7 -FFA;com.RedTeam19.Sail;85;2022-08-22 16:40 UTC;1725
